event_date,year,month,day,event_type,country,admin1,fatalities,actor1_type,actor2_type,interaction_type,is_terrorist_group_related,terrorist_group_filiation,is_pmc_related
2024-04-30,2024,4,30,Battles,Burkina Faso,Sud-Ouest,4,Rebel Groups,Identity Militias,REBELS VERSUS IDENTITY MILITIA,1,Al-Qaeda,0
2024-04-30,2024,4,30,Battles,Burkina Faso,Centre-Nord,11,Rebel Groups,Identity Militias,REBELS VERSUS IDENTITY MILITIA,1,Al-Qaeda,0
2024-04-30,2024,4,30,Battles,Burkina Faso,Boucle du Mouhoun,10,Identity Militias,Rebel Groups,REBELS VERSUS IDENTITY MILITIA,1,Al-Qaeda,0
2024-04-30,2024,4,30,Violence against civilians,Mali,Koulikoro,4,Political Militias,Civilians,POLITICAL MILITIA VERSUS CIVILIANS,0,None,0
2024-04-30,2024,4,30,Violence against civilians,Niger,Agadez,1,Political Militias,Civilians,POLITICAL MILITIA VERSUS CIVILIANS,0,None,0
2024-04-29,2024,4,29,Battles,Burkina Faso,Boucle du Mouhoun,0,Rebel Groups,Identity Militias,REBELS VERSUS IDENTITY MILITIA,1,Al-Qaeda,0
2024-04-29,2024,4,29,Explosions/Remote violence,Burkina Faso,Sahel,1,State Forces,Rebel Groups,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-29,2024,4,29,Explosions/Remote violence,Burkina Faso,Sahel,10,State Forces,Rebel Groups,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-29,2024,4,29,Strategic developments,Mali,Tombouctou,0,Civilians,None,SOLE CIVILIAN ACTION,0,None,0
2024-04-29,2024,4,29,Battles,Mali,Gao,10,Rebel Groups,Political Militias,REBELS VERSUS POLITICAL MILITIA,1,Al-Qaeda,0
2024-04-29,2024,4,29,Explosions/Remote violence,Mali,Mopti,0,Rebel Groups,State Forces,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-29,2024,4,29,Strategic developments,Mali,Menaka,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Islamic State,0
2024-04-29,2024,4,29,Battles,Niger,Dosso,1,Political Militias,State Forces,STATE FORCES VERSUS POLITICAL MILITIA,0,None,0
2024-04-29,2024,4,29,Strategic developments,Niger,Diffa,0,Rebel Groups,State Forces,STATE FORCES VERSUS REBELS,1,Islamic State,0
2024-04-28,2024,4,28,Explosions/Remote violence,Burkina Faso,Sahel,1,Rebel Groups,External/Other Forces,REBELS VERSUS OTHERS,1,Al-Qaeda,0
2024-04-28,2024,4,28,Battles,Burkina Faso,Centre-Nord,1,Rebel Groups,Identity Militias,REBELS VERSUS IDENTITY MILITIA,1,Al-Qaeda,0
2024-04-28,2024,4,28,Violence against civilians,Burkina Faso,Boucle du Mouhoun,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-28,2024,4,28,Battles,Mali,Mopti,3,State Forces,Rebel Groups,STATE FORCES VERSUS REBELS,1,Al-Qaeda,1
2024-04-28,2024,4,28,Strategic developments,Mali,Gao,0,State Forces,Rebel Groups,STATE FORCES VERSUS REBELS,1,Islamic State,1
2024-04-28,2024,4,28,Violence against civilians,Mali,Segou,0,State Forces,Civilians,STATE FORCES VERSUS CIVILIANS,0,None,1
2024-04-28,2024,4,28,Battles,Mali,Menaka,1,State Forces,Rebel Groups,STATE FORCES VERSUS REBELS,1,Islamic State,0
2024-04-28,2024,4,28,Explosions/Remote violence,Mali,Koulikoro,3,Rebel Groups,State Forces,STATE FORCES VERSUS REBELS,1,Al-Qaeda,1
2024-04-28,2024,4,28,Explosions/Remote violence,Mali,Koulikoro,0,Rebel Groups,State Forces,STATE FORCES VERSUS REBELS,1,Al-Qaeda,1
2024-04-28,2024,4,28,Battles,Mali,Mopti,4,Rebel Groups,Identity Militias,REBELS VERSUS IDENTITY MILITIA,1,Al-Qaeda,0
2024-04-28,2024,4,28,Explosions/Remote violence,Mali,Mopti,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-28,2024,4,28,Explosions/Remote violence,Mali,Tombouctou,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-28,2024,4,28,Strategic developments,Mali,Kidal,0,External/Other Forces,Political Militias,POLITICAL MILITIA VERSUS OTHERS,0,None,1
2024-04-28,2024,4,28,Strategic developments,Mali,Kidal,0,State Forces,None,SOLE STATE FORCES ACTION,0,None,0
2024-04-28,2024,4,28,Violence against civilians,Niger,Tillaberi,6,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Islamic State,0
2024-04-28,2024,4,28,Strategic developments,Niger,Diffa,0,Rebel Groups,State Forces,STATE FORCES VERSUS REBELS,1,Islamic State,0
2024-04-27,2024,4,27,Explosions/Remote violence,Burkina Faso,Sahel,1,Rebel Groups,External/Other Forces,REBELS VERSUS OTHERS,1,Al-Qaeda,0
2024-04-27,2024,4,27,Violence against civilians,Burkina Faso,Sahel,20,State Forces,Civilians,STATE FORCES VERSUS CIVILIANS,0,None,0
2024-04-27,2024,4,27,Violence against civilians,Burkina Faso,Plateau-Central,1,Identity Militias,Civilians,IDENTITY MILITIA VERSUS CIVILIANS,0,None,0
2024-04-27,2024,4,27,Explosions/Remote violence,Mali,Segou,10,Rebel Groups,State Forces,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-27,2024,4,27,Explosions/Remote violence,Mali,Segou,10,Rebel Groups,External/Other Forces,REBELS VERSUS OTHERS,1,Al-Qaeda,1
2024-04-27,2024,4,27,Battles,Mali,Segou,0,Rebel Groups,State Forces,STATE FORCES VERSUS REBELS,1,Al-Qaeda,1
2024-04-26,2024,4,26,Violence against civilians,Burkina Faso,Est,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-26,2024,4,26,Battles,Burkina Faso,Centre-Est,0,Rebel Groups,State Forces,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-26,2024,4,26,Strategic developments,Mali,Segou,0,Identity Militias,Civilians,IDENTITY MILITIA VERSUS CIVILIANS,0,None,0
2024-04-26,2024,4,26,Explosions/Remote violence,Mali,Menaka,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Islamic State,0
2024-04-26,2024,4,26,Violence against civilians,Mali,Segou,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-26,2024,4,26,Violence against civilians,Mali,Mopti,2,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-26,2024,4,26,Violence against civilians,Mali,Segou,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-26,2024,4,26,Battles,Mali,Mopti,0,Rebel Groups,Identity Militias,REBELS VERSUS IDENTITY MILITIA,1,Al-Qaeda,0
2024-04-26,2024,4,26,Battles,Mali,Mopti,0,Rebel Groups,Identity Militias,REBELS VERSUS IDENTITY MILITIA,1,Al-Qaeda,0
2024-04-26,2024,4,26,Violence against civilians,Mali,Koulikoro,1,State Forces,Civilians,STATE FORCES VERSUS CIVILIANS,0,None,1
2024-04-26,2024,4,26,Strategic developments,Mali,Segou,0,State Forces,Civilians,STATE FORCES VERSUS CIVILIANS,0,None,1
2024-04-26,2024,4,26,Battles,Burkina Faso,Centre-Nord,11,Rebel Groups,State Forces,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-26,2024,4,26,Violence against civilians,Burkina Faso,Est,5,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-26,2024,4,26,Explosions/Remote violence,Mali,Segou,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-26,2024,4,26,Strategic developments,Mali,Mopti,0,State Forces,None,SOLE STATE FORCES ACTION,0,None,0
2024-04-26,2024,4,26,Battles,Niger,Tillaberi,1,State Forces,Rebel Groups,STATE FORCES VERSUS REBELS,1,Islamic State,0
2024-04-26,2024,4,26,Battles,Niger,Tahoua,2,State Forces,Political Militias,STATE FORCES VERSUS POLITICAL MILITIA,0,None,0
2024-04-26,2024,4,26,Strategic developments,Niger,Tillaberi,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Islamic State,0
2024-04-25,2024,4,25,Explosions/Remote violence,Burkina Faso,Boucle du Mouhoun,3,State Forces,Rebel Groups,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-25,2024,4,25,Explosions/Remote violence,Burkina Faso,Sahel,3,State Forces,Rebel Groups,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
